title,description,category,url,image,provider,datePublished,sentiment
"Israel-Gaza live updates: Hezbollah fires 'hundreds' of rockets amid Israeli strikes","As the Israel-Hamas war continues, cease-fire discussions are occurring in the Middle East, with officials hoping to bring an end to the conflict. The United States and its allies continue to plead for a cease-fire deal, with discussions set for this week.","World","https://abcnews.go.com/International/live-updates/israel-hamas-cease-fire-talks-hostages-war/?entryId=113132298&id=112935700","https://www.bing.com/th?id=OVFT.6uj6R348iufCnrJw3LA0ti&pid=News","ABC","2024-08-25","negative"
"Telegram’s Toncoin (TON) launches exclusively on Altify. Invest in TON with ZAR, USDT and more.","Telegram’s Toncoin is one of the fastest-growing blockchains in the world – and Altify is now the only South African platform to have it listed.","ScienceAndTechnology","https://businesstech.co.za/news/industry-news/788156/telegrams-toncoin-ton-launches-exclusively-on-altify-invest-in-ton-with-zar-usdt-and-more/","https://www.bing.com/th?id=OVFT.7s3VXsoCV7rkifcFSm5J4C&pid=News","businesstech.co.za","2024-08-26","neutral"
"New COVID-19 vaccines were just approved: Everything you need to know","The newest formula is targeted at what's expected to be the dominant strain of the virus, much like is done for the flu, according to the FDA.","Health","https://chicago.suntimes.com/health/2024/08/23/covid-vaccines-approved-kp2-strain-what-you-need-to-know","https://www.bing.com/th?id=OVFT.ldxgKhHqhaLeW8S3LqgGYC&pid=News","Chicago Sun-Times","2024-08-23","negative"
"Israel and Hezbollah trade fire in major flare-up","Hezbollah had vowed to retaliate against Israel after a string of figures in Iran-backed militant groups were killed over a span of weeks, raising fears of a wider Middle East conflict. Follow for live news updates.","World","https://edition.cnn.com/world/live-news/israel-hamas-iran-hezbollah-intl-latam","https://www.bing.com/th?id=OVFT.rVpBPdpcKFFRMBc9Ar-E0i&pid=News","CNN","2024-08-25","negative"
"Get Your PC Ready for Black Myth: Wukong with the Best GPUs in 2024","Wukong is the latest action role-playing game (RPG) to hit PC, PS5, and Xbox Series consoles and there has been a lot of hype around it. The so-called souls-like genre of games does invoke a sense of challenge and opportunity,","ScienceAndTechnology","https://gamerant.com/best-gpus-for-black-myth-wukong/","https://www.bing.com/th?id=OVFT.OoGtyP0eMIyE5n25lQJsui&pid=News","Game Rant","2024-08-23","neutral"
"Centre announces Unified Pension Scheme: How will UPS differ from OPS, NPS?","Former Finance Secretary T V Somanathan, who led the committee which came up with the UPS, said that the latest pension scheme incorporates the best elements of both the NPS and the OPS. Here is how i","Business","https://indianexpress.com/article/explained/centre-announced-unified-pension-scheme-how-will-ups-differ-from-ops-nps-9531351/","https://www.bing.com/th?id=OVFT.9RkNLjq0ixOtA2kqGCG4Sy&pid=News","The Indian Express","2024-08-24","neutral"
"King Charles releases first statement after Kate Middleton’s latest appearance","King Charles III made a huge announcement right after his beloved daughter-in-law Kate Middleton made a rare public appearance at Crathie Church in Balmoral on Sunday.The monarch and his wife Queen Camilla were accompanied by","Entertainment","https://jang.com.pk/en/19213-king-charles-releases-first-statement-after-kate-middletons-latest-appearance-news","https://www.bing.com/th?id=OVFT.zd5CVv5SLMhhW0SRDX8_2i&pid=News","Daily Jang","2024-08-26","positive"
"Middle East latest: 'Great peril remains' as Israel and Hezbollah 'trade messages' after exchanging fire","Hezbollah and Israel are said to have \"traded messages\" warning one another against further escalation after the two sides exchanged fire - but Sky's Alex Rossi says great peril remains. In the video below,","World","https://news.sky.com/story/middle-east-latest-great-peril-remains-as-israel-and-hezbollah-trade-messages-after-exchanging-fire-12978800","https://www.bing.com/th?id=OVFT.yHiworf0yq29L7E_36NvsC&pid=News","Sky","2024-08-26","neutral"
"UK weather latest: Watch tents fly across festival as 70mph winds hit UK - with more warnings for weekend","A lorry driving across the Humber Bridge had a near miss today as strong winds nearly toppled it over. The video, posted on Facebook, shows the vehicle's rear wheels lift on one side as the strength of the wind pushes it towards the edge of the suspension ...","US","https://news.sky.com/story/uk-weather-latest-watch-tents-fly-across-festival-as-70mph-winds-hit-uk-with-more-warnings-for-weekend-13201665","https://www.bing.com/th?id=OVFT.LBuTfkcpRLQfwU-XwjPBlS&pid=News","Sky","2024-08-23","negative"
"What is the energy price cap? And why is it important?","But the latest increase - which means households paying by direct debit will pay £12 per month more - means the cap will remain around £500 up on the average annual bill levels seen before Russia's invasion of Ukraine. But what is the energy price cap?","Business","https://news.sky.com/story/what-is-the-energy-price-cap-and-why-is-it-important-13201680","https://www.bing.com/th?id=OVFT.jKYL7gPaKK2m8pQEsJ7fXy&pid=News","Sky","2024-08-23","neutral"
