ROG3,PeopleID3,ROP3,PeopNameInCountry,ROG2,Continent,RegionName,ISO3,LocationInCountry,PeopleID1,ROP1,AffinityBloc,PeopleID2,ROP2,PeopleCluster,PeopNameAcrossCountries,Population,Category,ROL3,PrimaryLanguageName,PrimaryLanguageDialect,NumberLanguagesSpoken,OfficialLang,SpeakNationalLang,BibleStatus,BibleYear,NTYear,PortionsYear,TranslationNeedQuestionable,JPScale,JPScalePC,JPScalePGAC,LeastReached,LeastReachedPC,LeastReachedPGAC,GSEC,JF,AudioRecordings,NTOnline,RLG3,RLG3PC,RLG3PGAC,PrimaryReligion,PrimaryReligionPC,PrimaryReligionPGAC,RLG4,ReligionSubdivision,PCIslam,PCNonReligious,PCUnknown,SecurityLevel,LRTop100,PhotoAddress,PhotoCredits,PhotoCreditURL,PhotoCreativeCommons,PhotoCopyright,PhotoPermission,ProfileTextExists,CountOfCountries,CountOfProvinces,Longitude,Latitude,Ctry,IndigenousCode,PercentAdherents,PercentChristianPC,NaturalName,NaturalPronunciation,PercentChristianPGAC,PercentEvangelical,PercentEvangelicalPC,PercentEvangelicalPGAC,PCBuddhism,PCEthnicReligions,PCHinduism,PCOtherSmall,RegionCode,PopulationPGAC,Frontier,MapAddress,PhotoCCVersionText,PhotoCCVersionURL,MapCredits,MapCreditURL,MapCopyright,MapCCVersionText,MapCCVersionURL,Window1040,PeopleGroupMapURL,PeopleGroupMapExpandedURL,PeopleGroupURL,PeopleGroupPhotoURL,CountryURL,JPScaleText,JPScaleImageURL,Summary,Obstacles,HowReach,PrayForChurch,PrayForPG,BibleStatusText
"LY","10510","100652","Awjilah","AFR","Africa","Africa, North and Middle East","LBY","Al Wahat district: east, Cyrenaica.","10","A001","Arab World","141","C0045","Berber-Saharan","Awjilah","2700","1","auj","Awjilah",,"1","Arabic, Standard",,"0",,,,,"1","1","1","Y","Y","Y","1","N","N",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p10510.jpg","Anonymous",,"N","N","N","Y","1",,"21.1938","29.204509999999999","Libya","Y","0","0.039","Awjilah",,"0","0","0.019","0","0","0","0","0","6","2700","Y","m00316.png","","","xyzzy - Wikimedia","https://commons.wikimedia.org/wiki/File:Libya_ethnic.svg","N","CC0 1.0","https://creativecommons.org/publicdomain/zero/1.0/","Y","https://joshuaproject.net/assets/media/profiles/maps/m00316.png","https://joshuaproject.net/assets/media/profiles/maps/m00316.pdf","https://joshuaproject.net/people_groups/10510/LY","https://joshuaproject.net/assets/media/profiles/photos/p10510.jpg","https://joshuaproject.net/countries/LY","Unreached","https://joshuaproject.net/images/scale1.jpg","Awjila is an oasis town in the Al Wahat District in the Cyrenaica region of northeastern Libya, on the east-west caravan route between Egypt and Tripoli. This oasis is mentioned by Herodotus (c. 484 – 425 BC). The people of the oasis are mainly Berber. They cultivate small gardens using water from deep wells, and the dates they raise are well known for their high quality. From the Arab conquest in the 7th century, Islam has played an important role in the community. The Great Mosque of Atiq is the oldest masjed (mosque) in the Sahara with a unique style of architecture. The people are shifting from the Awjilah language to Arabic.","Access to this desert oasis is not easy, and the people have been Muslim for 1300 years.","Please pray for the Imams as they study the Koran. Pray the Lord will reveal himself to them in powerful ways, leading them to understand and believe that Jesus (whom Muslims call Isa al-Masih) is truly deity, the Son of God.","There are no known followers of Jesus among the Awjilah people at this time.","Pray for peace throughout Libya, and for a stable and effective government.","Unspecified"
"MU","10717","101122","Bathari","ASI","Asia","Africa, North and Middle East","OMN","Zufar governorate, coastal towns, from Al Jazeer to Shweymia.","10","A001","Arab World","111","C0013","Arab, Arabian","Bathari","300","3","acx","Arabic, Omani",,"2","Arabic, Standard",,"0",,,,,"1","1","1","Y","Y","Y","1","N","Y",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p10717.jpg","Alexey Stiop - Shutterstock",,"N","Y","Y","Y","1",,"56.008000000000003","17.960999999999999","Oman","Y","0","0.40500000000000003","Bathari","bah-tah-REE","0","0","0.11700000000000001","0","0","0","0","0","6","300","Y","m10717_mu.png","","","Joshua Project / Global Mapping International","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10717_mu.png","https://joshuaproject.net/assets/media/profiles/maps/m10717_mu.pdf","https://joshuaproject.net/people_groups/10717/MU","https://joshuaproject.net/assets/media/profiles/photos/p10717.jpg","https://joshuaproject.net/countries/MU","Unreached","https://joshuaproject.net/images/scale1.jpg","Bathari is a language of southern Oman, but few people speak Bathari. The remainder have switched to speaking Omani Arabic, Oman's trade language.","The Bathari people are Sunni Muslims who believe that Allah spoke through his prophet Mohammed and taught mankind how to live a righteous life through the Koran and the Hadith. They seek to live righteously according to Mohammed's teachings. They have never understood that they need a sinless savior.","One of the main holidays for Sunni Muslims is Eid al Adha, the celebration of Abraham's willingness to sacrifice his son to Allah. They already understand the value of the sacrifice of a son; this can be a connection to the ultimate sacrifice of the ultimate Son.","","The Bathari people need to put their identity in Christ, especially as they are in the process of losing their identity as a distinct people group. Pray they would have a spiritual hunger that will open their hearts to the King of kings. Pray for workers who are driven by love and by the boldness of the Holy Spirit. Pray for a disciple-making movement among them to begin soon.","Unspecified"
"IZ","10759","101196","Arab, Saudi - Najdi","ASI","Asia","Africa, North and Middle East","IRQ","Widespread; central Najdi dialect in western desert, Al Anbar, Al Muthanna, and An Najaf governorates; North Najdi dialect south between the rivers up to the Syrian border (Ninawa Governorate).","10","A001","Arab World","111","C0013","Arab, Arabian","Arab, Saudi - Najdi","1977000","1","ars","Arabic, Najdi",,"1","Arabic, Standard",,"3",,,"2004-2013",,"1","1","1","Y","Y","Y","1","N","Y",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p10759.jpg","Sam Nord - Shutterstock",,"N","Y","Y","Y","11",,"42.907119999999999","32.444920000000003","Iraq","N","0","0.40500000000000003","Najdi Arab","SOW-dee nahj-DEE AE-rub","0.071999999999999995","0","0.11700000000000001","0.063","0","0","0","0","6","18835500","Y","m10759_iz.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10759_iz.png","https://joshuaproject.net/assets/media/profiles/maps/m10759_iz.pdf","https://joshuaproject.net/people_groups/10759/IZ","https://joshuaproject.net/assets/media/profiles/photos/p10759.jpg","https://joshuaproject.net/countries/IZ","Unreached","https://joshuaproject.net/images/scale1.jpg","Saudi-Najdi Arabs in Iraq live a harsh existence, having no permanent homes, living in portable black tents made from woven goat hair. Woman do most of the work, while men socialize and make plans for the group. Their tents are their main possessions, and animals are very important to their nomadic lifestyle.","Evangelism efforts among this unreached, unengaged people group are challenging due to harsh and unsettled nature of their lifestyle. There is a great need for missionaries who are able to endure difficult desert conditions so they can have regular contact with these nomads.","There is a need for medical and education teams to work among this nomadic people group to help them to help themselves.","There are no known followers of Christ among this people group in Iraq.","Simple things grow, simple things multiply. Pray for simple church and small groups to become a reality among Najdi Arabs in Iraq.
Pray that God will overthrow the spiritual forces of darkness that oppose the spread of His gospel and ask God to deliver the families and communities within this people group from fears that hinder them from embracing His blessing of salvation.","Portions"
"SY","10759","101196","Arab, Saudi - Najdi","ASI","Asia","Africa, North and Middle East","SYR","Widespread; eastern Syrian desert.","10","A001","Arab World","111","C0013","Arab, Arabian","Arab, Saudi - Najdi","1478000","3","ars","Arabic, Najdi",,"2","Arabic, Standard",,"3",,,"2004-2013",,"1","1","1","Y","Y","Y","1","N","Y",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p10759.jpg","Sam Nord - Shutterstock",,"N","Y","Y","Y","11",,"38.628419999683203","34.536990000188297","Syria","N","0","0.40500000000000003","Najdi Arab","SOW-dee nahj-DEE AE-rub","0.071999999999999995","0","0.11700000000000001","0.063","0","0","0","0","6","18835500","Y","m10759_sy.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m10759_sy.png","https://joshuaproject.net/assets/media/profiles/maps/m10759_sy.pdf","https://joshuaproject.net/people_groups/10759/SY","https://joshuaproject.net/assets/media/profiles/photos/p10759.jpg","https://joshuaproject.net/countries/SY","Unreached","https://joshuaproject.net/images/scale1.jpg","Saudi-Najdi Arabs in Syria fall into two basic classes, ""true"" Bedouins (desert dwellers), and ""fellahim"" who lead a more settled life on the edge of the desert. They move into the desert during the rainy winter seasons, and back to the desert's edge during hot, dry summers. They are 100 percent Sunni Muslim.","Evangelical efforts to Saudi-Najdi Arabs in Syria are challenging due to harsh and unsettled nature of their lifestyle. There is a great need for missionaries who are willing and able to endure the difficult conditions of the Syrian desert to reach them for Christ.","Medical and educational assistance by believers is needed for these transient people. Broken and obedient workers need to go to these people and live among them, serving and loving them as Christ's hands and feet.","There are no known followers of Christ, so pray that this will be the decade where the Holy Spirit begins to move in their communities.","Pray for the Lord to bless the families among the Saudi-Najdi Arabs in Syria with His presence and mercy.
Pray for Bible believing fellowships and disciple-making groups to flourish among them.","Portions"
"LY","11198","103013","Bedouin, Fezzan","AFR","Africa","Africa, North and Middle East","LBY","Widespread, especially in the north.","10","A001","Arab World","137","C0041","Bedouin, Saharan","Bedouin, Fezzan","220000","2","ayl","Arabic, Libyan",,"1","Arabic, Standard",,"0",,,,,"1","1","1","Y","Y","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p11198.jpg","Anonymous",,"N","N","N","Y","1",,"12.774993716187099","26.5929919906878","Libya","Y","0","0.002","Fezzan Bedouin","feh-ZAHN","0","0","0","0","0","0","0","0","6","220000","Y","m11198_ly.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11198_ly.png","https://joshuaproject.net/assets/media/profiles/maps/m11198_ly.pdf","https://joshuaproject.net/people_groups/11198/LY","https://joshuaproject.net/assets/media/profiles/photos/p11198.jpg","https://joshuaproject.net/countries/LY","Unreached","https://joshuaproject.net/images/scale1.jpg","The Bedouin are descendants of Arab invaders and the native North African Berber population. The first Arab invasion of North Africa was in 643, but complete Arabization did not occur until much later. There are very few true nomads among the Bedouin, while semi-nomads are quite numerous. The true nomads herd only camels, and they wander freely. The semi-nomads cultivate crops, primarily barley and wheat. Nomadic Bedouin live in portable black tents made from woven goat hair. Half of the tent is for the women, children, cooking utensils and storage. The other half contains a fireplace and is used for entertaining. Bedouin have been Muslim for many generations.","Resources are available in the languages of most Bedouin, but how can resources be made available to these people living largely in remote portions of Libya?","Gospel radio can be effective in reaching people in remote areas, and is especially needed for nomadic groups. Pray for funding needed to create good quality programs and to keep them on the air.","There are no known followers of Jesus among the Fezzan Bedouin. However, please pray for those the Lord is preparing for himself. They will need prayer support and they will need teachers to help them.","Pray for the Bedouin to have adequate rainfall for their crops and herds. Pray also they would see the importance of educating their children well for a rapidly changing world.","Unspecified"
"AG","11321","102070","Chenoua","AFR","Africa","Africa, North and Middle East","DZA","Aïn Defla province: north of Khemis; Chlef province: Mount Bissa area; Tipasa province: generally Mount Chenoua area; dialects: Chenoui in Mount Chenoua area, Beni Menacer to south and west; Djebel Bissa dialect in Tacheta forest area, and Beni Haoua village (Genevois and Reesink 1973).","10","A001","Arab World","142","C0046","Berber-Kabyle","Chenoua","108000","1","cnu","Chenoua",,"1","Arabic, Standard",,"0",,,,,"1","1","1","Y","Y","Y","0","N","N",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p11321.jpg","Aleson - Shutterstock",,"N","Y","Y","Y","1",,"2.1966399999999999","36.607289999999999","Algeria","Y","0","0.53000000000000003","Chenoua","sheh-noo-AH","0","0","0.37","0","0","0","0","0","6","108000","Y","m11321_ag.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11321_ag.png","https://joshuaproject.net/assets/media/profiles/maps/m11321_ag.pdf","https://joshuaproject.net/people_groups/11321/AG","https://joshuaproject.net/assets/media/profiles/photos/p11321.jpg","https://joshuaproject.net/countries/AG","Unreached","https://joshuaproject.net/images/scale1.jpg","What would you teach your children to speak if your own people group was small, and there were three other small languages in the local vicinity? You would use the trade language, right? This is what most Chenoua speaking parents do. They live in rural parts of Algeria, and they believe the Algerian government does not help them enough with their infrastructure needs.","Their desert home makes access difficult. Muslim extremism and terrorist groups are present in some areas. Foreigners often experience difficulty obtaining visas since the government wants to restrict outside influences.","There is a radio outreach in their language and a small number of believers who can reach the Muslim majority. Women with the right skills can reach Chenoua women and help them with their medical and educational needs. Currently there is a Berber rug decor trend. Disciple makers could connect with local rug producers and purchase their goods for the world market.","","Pray for laborers who are committed people, willing to lay down their lives for the sake of the gospel. 
Pray for every hindrance of the gospel's touching the Chenoua people's lives to be removed.
Pray for a spiritual hunger among the Chenoua people that will lead them to the foot of the cross.","Unspecified"
"AG","11633","102751","Bedouin, Dui-Menia","AFR","Africa","Africa, North and Middle East","DZA","Widespread.","10","A001","Arab World","137","C0041","Bedouin, Saharan","Bedouin, Dui-Menia","86000","3","arq","Arabic, Algerian",,"1","Arabic, Standard",,"4",,"1965-2020","1872-1964",,"1","1","1","Y","Y","Y","1","Y","Y","Y","6","6","6","Islam","Islam","Islam","20","Sunni","99.989997863769503","0","0","2","N","p11633.jpg","Anonymous",,"N","N","N","Y","1",,"-2.4584107209780099","30.865610011692599","Algeria","Y","0.0089999999999999993","0.002","Dui-Menia Bedouin","doo-EE meh-NEE-ah","0.0089999999999999993","0","0","0","0","0","0","0","6","86000","Y","m11633_ag.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11633_ag.png","https://joshuaproject.net/assets/media/profiles/maps/m11633_ag.pdf","https://joshuaproject.net/people_groups/11633/AG","https://joshuaproject.net/assets/media/profiles/photos/p11633.jpg","https://joshuaproject.net/countries/AG","Unreached","https://joshuaproject.net/images/scale1.jpg","The term 'Bedu' in the Arabic language refers to one who lives out in the open, in the desert. In ancient times, most people settled near rivers but the Bedouin people preferred to live in the open desert. The Bedouins are seen as Arab culture's purest representatives and the Bedouins continue to be hailed by other Arabs as ""ideal"" Arabs, especially because of their rich oral poetic tradition, their herding lifestyle, and their traditional code of honor. Bedouins are distinct from other Arabs because of their extensive kinship networks, which provide them with community support and the basic necessities for survival. Only a few Bedouins live as their forefathers did in camel and goat hair tents, raising livestock, hunting and raiding. The first converts to Islam came from the Bedouin tribes and therefore (Sunni) Islam is embedded and deeply rooted in Bedouin culture.","Although there are resources available in their languages, the Bedouin have proved to be resistant to Christianity.","Pray for gospel radio to be widely available throughout the lands of the Bedouin. Pray for the funding needed for this and for excellent programming that will be acceptable to the Bedouins.","Few Dui-Menia Bedouin individuals know and follow Jesus at this time. Pray the Lord would be preparing teachers and pastors for those who will soon come to saving faith in Christ.","Pray for pure drinking water for the Bedouin, for improved medical care and for employment opportunities.","New Testament"
"MO","11889","103368","Bedouin, Gil","AFR","Africa","Africa, North and Middle East","MAR","Southern Morocco.","10","A001","Arab World","112","C0014","Arab, Hassaniya","Bedouin, Gil","50000","2","aao","Arabic, Algerian Saharan",,"1","Arabic, Standard",,"3",,,"1992",,"1","1","1","Y","Y","Y",,"Y","Y",,"6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p11889.jpg","Ruslan Kalnitsky - Shutterstock",,"N","Y","Y","Y","1",,"-11.097273423030099","28.429370582786099","Morocco","Y","0","0.085999999999999993","Gil Bedouin","geel BEH-doo-in","0","0","0.073999999999999996","0","0","0","0","0","6","50000","Y","m11889_mo.png","","","People Group location: IMB. Map geography: ESRI / GMI. Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m11889_mo.png","https://joshuaproject.net/assets/media/profiles/maps/m11889_mo.pdf","https://joshuaproject.net/people_groups/11889/MO","https://joshuaproject.net/assets/media/profiles/photos/p11889.jpg","https://joshuaproject.net/countries/MO","Unreached","https://joshuaproject.net/images/scale1.jpg","Gil Bedouins traditionally live a nomadic lifestyle. The word ""Bedouin"" comes from the Arab word ""bedou,"" meaning ""desert dweller."" Nomadic Bedouins number about one-tenth of the population of the Middle East. Bedouin life is generally pastoral, raising camels, sheep, goats and cattle.","It is almost impossible to find Christians who are willing to live the lifestyle of nomadic people for the sake of the gospel. It will take hearty believers who can and will live among them for years, learn their language and share the gospel in a way that makes sense in their culture.","Believers who are willing to live like Bedouins can share the JESUS Film and gospel recordings.","Pray that believers who encounter Gil Bedouins would use opportunities to develop friendships with them and earn their respect to speak the truth of the gospel to them. Pray for courage and accurate communication.","Pray they would see their desperate need for Jesus Christ, the only Savior. 
Pray that Gil Bedouin children would be educated in technology to be participants in the modern world.","Portions"
"AE","12046","101195","Bedouin, Gulf","ASI","Asia","Africa, North and Middle East","ARE",,"10","A001","Arab World","136","C0040","Bedouin, Arabian","Bedouin, Gulf","187000","2","afb","Arabic, Gulf",,"1","Arabic, Standard",,"3",,,"2024",,"1","1","1","Y","Y","Y",,"Y","Y","Y","6","6","6","Islam","Islam","Islam",,,"100","0","0","2","N","p12046.jpg","Kerry Olson",,"N","Y","Y","Y","1",,"54.5562139995764","24.330845999843","United Arab Emirates","Y","0","0.033000000000000002","Gulf Bedouin","gulf BEH-doo-in","0","0","0.028000000000000001","0","0","0","0","0","6","187000","Y","m12046_ae.png","","","People Group location: Joshua Project. Map geography: ESRI / GMI.  Map design: Joshua Project.","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m12046_ae.png","https://joshuaproject.net/assets/media/profiles/maps/m12046_ae.pdf","https://joshuaproject.net/people_groups/12046/AE","https://joshuaproject.net/assets/media/profiles/photos/p12046.jpg","https://joshuaproject.net/countries/AE","Unreached","https://joshuaproject.net/images/scale1.jpg","The name ""Bedouin"" is derived from the Arab word bedu. It is a term used for those groups who migrate with their herds. Today, many Bedouin live as semi-nomads. Political borders are of little importance to the Bedouin, although various government restrictions are now having more affect on their migratory lifestyle than in times past. While most of the Bedouin are Sunni Muslims (many of the Malikite branch), there is still a basic belief in spirits known as jinnis. The jinnis are, according to Muslim legend, spirits capable of assuming human or animal form and exercising supernatural influence over humans.","It's not easy to establish long-term, trusting relationships with the semi-nomadic Bedouin. Special effort is needed to befriend these people.","Gospel radio may be very effective in reaching the Bedouin. Pray for excellent programming that will capture the interest of the Bedouin, and that they will find these broadcast frequencies.","Pray the few believers in Jesus among the Bedouin will have hungry hearts to be real disciples of Christ. Pray they will live holy lives, and learn to live joyously as they are filled with the Lord's Spirit. Pray they will not be fearful to bear testimony to the Lord's goodness.","Pray that many Gulf Bedouins will come to love God with their whole being and will walk in His ways. Pray the Bedouin tribes will be able to make necessary adjustments to the changing conditions of the 21st century. Pray their children will have opportunities to attend schools.","Portions"
"MU","12114","103851","Hobyot","ASI","Asia","Africa, North and Middle East","OMN","Zufar governorate, near Yemen border.","10","A001","Arab World","111","C0013","Arab, Arabian","Hobyot","200","1","hoh","Hobyot",,"1","Arabic, Standard",,"0",,,,,"1","1","1","Y","Y","Y","1","N","N",,"6","6","6","Islam","Islam","Islam",,,"99.799999999999997","0","0","2","N","p12114.jpg","Greta Gabaglio - Shutterstock",,"N","Y","y","Y","2",,"52.975180000000002","17.26042","Oman","Y","0","0.40500000000000003","Hobyot",,"0.14000000000000001","0","0.11700000000000001","0","0","0","0","0","6","600","Y","m12114_mu.png","","","Joshua Project / Global Mapping International","","N","","","Y","https://joshuaproject.net/assets/media/profiles/maps/m12114_mu.png","https://joshuaproject.net/assets/media/profiles/maps/m12114_mu.pdf","https://joshuaproject.net/people_groups/12114/MU","https://joshuaproject.net/assets/media/profiles/photos/p12114.jpg","https://joshuaproject.net/countries/MU","Unreached","https://joshuaproject.net/images/scale1.jpg","","","","","","Unspecified"
