Date,Revenue_Value
2/1/2009,93.471
3/1/2009,93.471
4/1/2009,93.471
5/1/2009,100.082
6/1/2009,100.082
7/1/2009,100.082
8/1/2009,98.667
9/1/2009,98.667
10/1/2009,98.667
11/1/2009,112.8
12/1/2009,112.8
1/1/2010,112.8
2/1/2010,99.1
3/1/2010,99.1
4/1/2010,99.1
5/1/2010,103
6/1/2010,103
7/1/2010,103
8/1/2010,101.2
9/1/2010,101.2
10/1/2010,101.2
11/1/2010,115.6
12/1/2010,115.6
1/1/2011,115.6
2/1/2011,103.4
3/1/2011,103.4
4/1/2011,103.4
5/1/2011,108.6
6/1/2011,108.6
7/1/2011,108.6
8/1/2011,109.5
9/1/2011,109.5
10/1/2011,109.5
11/1/2011,122.3
12/1/2011,122.3
1/1/2012,122.3
2/1/2012,112.3
3/1/2012,112.3
4/1/2012,112.3
5/1/2012,113.5
6/1/2012,113.5
7/1/2012,113.5
8/1/2012,113.2
9/1/2012,113.2
10/1/2012,113.2
11/1/2012,127.1
12/1/2012,127.1
1/1/2013,127.1
2/1/2013,113.4
3/1/2013,113.4
4/1/2013,113.4
5/1/2013,116.2
6/1/2013,116.2
7/1/2013,116.2
8/1/2013,114.9
9/1/2013,114.9
10/1/2013,114.9
11/1/2013,128.8
12/1/2013,128.8
1/1/2014,128.8
2/1/2014,114.2
3/1/2014,114.2
4/1/2014,114.2
5/1/2014,119.3
6/1/2014,119.3
7/1/2014,119.3
8/1/2014,118.1
9/1/2014,118.1
10/1/2014,118.1
11/1/2014,130.7
12/1/2014,130.7
1/1/2015,130.7
2/1/2015,114.8
3/1/2015,114.8
4/1/2015,114.8
5/1/2015,120.2
6/1/2015,120.2
7/1/2015,120.2
8/1/2015,117.4
9/1/2015,117.4
10/1/2015,117.4
11/1/2015,129.7
12/1/2015,129.7
1/1/2016,129.7
2/1/2016,115.9
3/1/2016,115.9
4/1/2016,115.9
5/1/2016,120.9
6/1/2016,120.9
7/1/2016,120.9
8/1/2016,118.2
9/1/2016,118.2
10/1/2016,118.2
11/1/2016,130.9
12/1/2016,130.9
1/1/2017,130.9
2/1/2017,117.5
3/1/2017,117.5
4/1/2017,117.5
5/1/2017,123.4
6/1/2017,123.4
7/1/2017,123.4
8/1/2017,123.2
9/1/2017,123.2
10/1/2017,123.2
11/1/2017,136.3
12/1/2017,136.3
1/1/2018,136.3
2/1/2018,122.7
3/1/2018,122.7
4/1/2018,122.7
5/1/2018,128
6/1/2018,128
7/1/2018,128
8/1/2018,124.9
9/1/2018,124.9
10/1/2018,124.9
11/1/2018,138.8
12/1/2018,138.8
1/1/2019,138.8
2/1/2019,123.9
3/1/2019,123.9
4/1/2019,123.9
5/1/2019,130.4
6/1/2019,130.4
7/1/2019,130.4
8/1/2019,128
9/1/2019,128
10/1/2019,128
11/1/2019,141.7
12/1/2019,141.7
1/1/2020,141.7
2/1/2020,134.6
3/1/2020,134.6
4/1/2020,134.6
5/1/2020,137.7
6/1/2020,137.7
7/1/2020,137.7
8/1/2020,134.7
9/1/2020,134.7
10/1/2020,134.7
11/1/2020,152.1
12/1/2020,152.1
1/1/2021,152.1
2/1/2021,138.3
3/1/2021,138.3
4/1/2021,138.3
5/1/2021,141
6/1/2021,141
7/1/2021,141
8/1/2021,140.5
9/1/2021,140.5
10/1/2021,140.5
11/1/2021,152.9
12/1/2021,152.9
1/1/2022,152.9
2/1/2022,141.6
3/1/2022,141.6
4/1/2022,141.6
5/1/2022,152.9
6/1/2022,152.9
7/1/2022,152.9
8/1/2022,152.8
9/1/2022,152.8
10/1/2022,152.8
11/1/2022,164
12/1/2022,164
1/1/2023,164
