ActivityID,ActivityName,RecAreaID
"26","WILDLIFE VIEWING","13950"
"26","WILDLIFE VIEWING","14826"
"26","WILDLIFE VIEWING","14831"
"26","WILDLIFE VIEWING","15168"
"26","WILDLIFE VIEWING","16424"
"26","WILDLIFE VIEWING","16830"
"26","WILDLIFE VIEWING","1766"
"26","WILDLIFE VIEWING","2566"
"26","WILDLIFE VIEWING","2623"
"26","WILDLIFE VIEWING","2651"
"26","WILDLIFE VIEWING","2809"
"26","WILDLIFE VIEWING","2893"
"26","WILDLIFE VIEWING","2992"
"26","WILDLIFE VIEWING","63"
"14","HIKING","13399"
"14","HIKING","14826"
"14","HIKING","14831"
"14","HIKING","16250"
"14","HIKING","16424"
"14","HIKING","1766"
"14","HIKING","2623"
"14","HIKING","2627"
"14","HIKING","2651"
"14","HIKING","2809"
"14","HIKING","2893"
"14","HIKING","2992"
"14","HIKING","63"
"14","HIKING","708"
"18","OFF HIGHWAY VEHICLE","10310650"
"22","WINTER SPORTS","10310650"
"100002","MOUNTAIN BIKING","10310650"
"100109","Trail Running","10310650"
"10","INTERPRETIVE PROGRAMS","1332"
"11","FISHING","1332"
"16","HUNTING","1332"
"103","ENVIRONMENTAL EDUCATION","1332"
"104","PHOTOGRAPHY","1332"
"6","BOATING","13399"
"9","CAMPING","13399"
"11","FISHING","13399"
"25","WATER SPORTS","13399"
"28","WILDERNESS","13399"
"100006","WATER ACTIVITIES","13399"
"8","HISTORIC & CULTURAL SITE","13950"
"11","FISHING","13950"
"16","HUNTING","13950"
"5","BIKING","14826"
"9","CAMPING","14826"
"15","HORSEBACK RIDING","14826"
"16","HUNTING","14826"
"104","PHOTOGRAPHY","14826"
"5","BIKING","14831"
"9","CAMPING","14831"
"15","HORSEBACK RIDING","14831"
"16","HUNTING","14831"
"104","PHOTOGRAPHY","14831"
"10","INTERPRETIVE PROGRAMS","15168"
"24","VISITOR CENTER","15168"
"103","ENVIRONMENTAL EDUCATION","15168"
"4","AUTO TOURING","16250"
"5","BIKING","16250"
"10","INTERPRETIVE PROGRAMS","16250"
"15","HORSEBACK RIDING","16250"
"18","OFF HIGHWAY VEHICLE","16250"
"103","ENVIRONMENTAL EDUCATION","16250"
"104","PHOTOGRAPHY","16250"
"4","AUTO TOURING","16424"
"39","OBSERVATION SITE","16424"
"104","PHOTOGRAPHY","16424"
"6","BOATING","16830"
"8","HISTORIC & CULTURAL SITE","16830"
"9","CAMPING","16830"
"11","FISHING","16830"
"16","HUNTING","16830"
"34","SWIMMING SITE","16830"
"104","PHOTOGRAPHY","16830"
"105","PADDLING","16830"
"5","BIKING","1766"
"10","INTERPRETIVE PROGRAMS","1766"
"20","PICNICKING","1766"
"32","DAY USE AREA","1766"
"104","PHOTOGRAPHY","1766"
"100024","DISC GOLF","1766"
"4","AUTO TOURING","2566"
"8","HISTORIC & CULTURAL SITE","2566"
"20","PICNICKING","2566"
"5","BIKING","2623"
"4","AUTO TOURING","2627"
"5","BIKING","2627"
"7","CLIMBING","2627"
"8","HISTORIC & CULTURAL SITE","2627"
"15","HORSEBACK RIDING","2627"
"20","PICNICKING","2627"
"105","PADDLING","2627"
"4","AUTO TOURING","2651"
"6","BOATING","2651"
"9","CAMPING","2651"
"11","FISHING","2651"
"15","HORSEBACK RIDING","2651"
"16","HUNTING","2651"
"106","SWIMMING","2651"
"5","BIKING","2699"
"20","PICNICKING","2699"
"4","AUTO TOURING","2809"
"5","BIKING","2809"
"7","CLIMBING","2809"
"11","FISHING","2809"
"15","HORSEBACK RIDING","2809"
"16","HUNTING","2809"
"20","PICNICKING","2809"
"105","PADDLING","2809"
"106","SWIMMING","2809"
"6","BOATING","2870"
"7","CLIMBING","2893"
"9","CAMPING","2893"
"20","PICNICKING","2893"
"6","BOATING","2992"
"9","CAMPING","2992"
"11","FISHING","2992"
"16","HUNTING","2992"
"105","PADDLING","2992"
"5","BIKING","63"
"6","BOATING","63"
"9","CAMPING","63"
"11","FISHING","63"
"15","HORSEBACK RIDING","63"
"16","HUNTING","63"
"20","PICNICKING","63"
"22","WINTER SPORTS","63"
"23","RECREATIONAL VEHICLES","63"
"25","WATER SPORTS","63"
"8","HISTORIC & CULTURAL SITE","708"
"20","PICNICKING","708"
"100083","STARGAZING","1830"
"7","CLIMBING","1830"
"8","HISTORIC & CULTURAL SITE","1830"
"9","CAMPING","1830"
"11","FISHING","1830"
"14","HIKING","1830"
"15","HORSEBACK RIDING","1830"
"16","HUNTING","1830"
"18","OFF HIGHWAY VEHICLE","1830"
"20","PICNICKING","1830"
"22","WINTER SPORTS","1830"
"23","RECREATIONAL VEHICLES","1830"
"26","WILDLIFE VIEWING","1830"
"28","WILDERNESS","1830"
"104","PHOTOGRAPHY","1830"
"105","PADDLING","1830"
"100018","NON-MOTORIZED BOATING","1830"
"100085","Accessible Facility or Activity","1830"
"100002","MOUNTAIN BIKING","1830"
"100036","BACKPACKING","1830"
