AttributeName,AttributeValue,CampsiteAccessible,CampsiteID,CampsiteLatitude,CampsiteLongitude,CampsiteName,CampsiteReservable,CampsiteType,CreatedDate,FacilityID,LastUpdatedDate,Loop,EquipmentName,MaxLength,TypeOfUse
"Base Number of People","0","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Placed on Map","1","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Checkout Time","11:00 AM","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Pets Allowed","Yes","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Shade","Yes","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Site Access","Drive-In","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Checkin Time","1:00 PM","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Max Num of People","6","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"IS EQUIPMENT MANDATORY","true","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Max Vehicle Length","34","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Max Num of Vehicles","2","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Fire Pit","Y","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Base Number of Vehicles","0","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","Tent","34","Overnight"
"Base Number of People","0","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","RV","20","Overnight"
"Placed on Map","1","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","RV","20","Overnight"
"Checkout Time","11:00 AM","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","RV","20","Overnight"
"Pets Allowed","Yes","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","RV","20","Overnight"
"Shade","Yes","false","92353","36.491160702000101","-121.14853306800001","115","True","STANDARD NONELECTRIC","2014-05-02","234015","2024-03-19","D","RV","20","Overnight"
