FacilityAccessibilityText,FacilityAdaAccess,FacilityEmail,FacilityID,FacilityLatitude,FacilityLongitude,FacilityMapURL,FacilityName,FacilityPhone,FacilityReservationURL,FacilityTypeDescription,TYPE,LastUpdatedDate,LegacyFacilityID,EntityID,EntityMediaID,EntityType,Height,IsGallery,IsPreview,IsPrimary,MediaType,Subtitle,Title,URL,Width,OrgFacilityID,ParentOrgID,ParentRecAreaID,Reservable,StayLimit
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10111815","Facility",4000,True,False,False,"Image","East Park Store Entrance","Park Store","https://cdn.recreation.gov/public/2021/02/01/23/15/259121_71336f94-6516-4a8d-a081-88d97c0b3611.jpeg",6000,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328775","Facility",1440,True,False,False,"Image","Many visitors stop here for park souvenirs","Park Store","https://cdn.recreation.gov/public/2024/08/07/05/17/259121_c0b3d755-df39-495f-9295-49737175517c.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328776","Facility",1440,True,True,True,"Image","Browse a wide range of items","Park Store souvenirs","https://cdn.recreation.gov/public/2024/08/07/05/21/259121_779d8346-e40c-49ba-9fc8-169c85d26d38.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328777","Facility",1440,True,False,False,"Image","Magnets and postcards are a popular item","Park Store merchandise","https://cdn.recreation.gov/public/2024/08/07/05/26/259121_f51d0ac1-bfed-4234-8d98-37fe0e0d1e7b.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328778","Facility",1440,True,False,False,"Image","Park souvenirs are a must have","Park Store items","https://cdn.recreation.gov/public/2024/08/07/05/37/259121_18d29bfd-fd19-4336-8f3c-f89215359796.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328779","Facility",1440,True,True,True,"Image","Get your park stamp and souvenirs","Park Store entrance","https://cdn.recreation.gov/public/2024/08/07/05/40/259121_226c540d-258b-48b2-adf3-d733becffb0d.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328780","Facility",1440,True,False,False,"Image","Park Store and Camp Store located in the campground","Campground store","https://cdn.recreation.gov/public/2024/08/07/05/43/259121_12928750-28ef-4e67-80ba-3000347c8ea0.jpeg",1920,"3662","128","2893",False,""
"","No","Pinn_visitor_information@nps.gov","259121",36.493734000000003,-121.146456,"","Pinnacles Park Store","(831)  38-9 4485","","Facility","Point",2024-08-09 00:00:00.0000000,"","259121","10328277","Facility",2699,True,False,False,"Image","Park Store and Camp Store","Side view of the campground store","https://cdn.recreation.gov/public/2024/08/02/21/23/259121_c19c9895-e741-4a0e-8d57-1d59ad88aaae.jpeg",4001,"3662","128","2893",False,""
"","No","jela_interpretation@nps.gov","258930",30.213395999999999,-91.994157000000001,"","Acadian Cultural Center","(337) 232-0789","","Facility","Point",2024-06-12 00:00:00.0000000,"","258930","10086628","Facility",3024,True,False,False,"Image","Our sign","ACC Sign","https://cdn.recreation.gov/public/2020/10/09/18/41/258930_df896765-25b8-42f7-ac4d-6f9940b484c1.jpeg",4032,"2488","128","13950",False,""
"","No","jela_interpretation@nps.gov","258930",30.213395999999999,-91.994157000000001,"","Acadian Cultural Center","(337) 232-0789","","Facility","Point",2024-06-12 00:00:00.0000000,"","258930","10086629","Facility",3024,True,False,False,"Image","The front desk is a great place to start your visit","ACC Front Desk","https://cdn.recreation.gov/public/2020/10/09/18/42/258930_78c22b77-4c5e-4f7a-ad12-4ea4d4c2f5df.jpeg",4032,"2488","128","13950",False,""
