Enabled	TYPE	LastUpdatedDate	OrgRecAreaID	ParentOrgID	RecAreaAccessibilityText	RecAreaEmail	RecAreaID	RecAreaLatitude	RecAreaLongitude	RecAreaMapURL	RecAreaName	RecAreaPhone	RecAreaReservationURL	Reservable
True	"Point"	2020-12-09 00:00:00.0000000	""	"129"	""	""	"63"	37.392209999999999	-107.57023	""	"Vallecito Reservoir"	"970-385-6577"	""	False
True	"Point"	2023-05-31 00:00:00.0000000	""	"126"	""	"utmtmail@blm.gov"	"16424"	37.539917000000003	-109.965881	""	"Salvation Knoll"	"435-587-1500"	""	False
True	"Point"	2024-08-26 00:00:00.0000000	"PINE"	"128"	""	"ner_external_affairs@nps.gov"	"2892"	39.938400000000001	-74.625	""	"New Jersey Pinelands National Reserve"	"(609) 894-7300"	""	False
True	"Point"	2024-08-21 00:00:00.0000000	""	"126"	""	"BLM_CA_Web_BK@blm.gov"	"14787"	36.436241670000001	-118.84799719999999	""	"Case Mountain Extensive Recreation Management Area"	"661-391-6000"	""	False
True	"Point"	2022-08-19 00:00:00.0000000	""	"126"	""	"blm_ut_sl_mail@blm.gov"	"16250"	40.795277779999999	-113.82777780000001	""	"Bonneville Salt Flats Special Recreation Management Area (SRMA)"	"801-320-8300"	""	False
True	"Point"	2024-08-24 00:00:00.0000000	""	"127"	""	"capemay@fws.gov"	"1332"	39.099767900000003	-74.879588999999996	""	"Cape May National Wildlife Refuge"	"609-463-0994"	""	False
True	"Point"	2024-06-03 00:00:00.0000000	"FOPU"	"128"	""	"fopu_information@nps.gov"	"2699"	32.030827000000002	-80.933616999999998	""	"Fort Pulaski National Monument"	"(912) 219-4233"	""	False
True	"Point"	2022-06-16 00:00:00.0000000	""	"126"	""	"BLM_CA_Web_CC@blm.gov"	"14831"	36.000768000000001	-120.571618	""	"Stockdale Mountain"	"831-582-2200"	""	False
True	"Point"	2022-01-18 00:00:00.0000000	"JELA"	"128"	""	"jela_interpretation@nps.gov"	"13950"	29.817399000000002	-90.140224000000003	""	"Jean Lafitte National Historical Park and Preserve"	"(504) 589-3882"	""	False
True	"Point"	2024-08-23 00:00:00.0000000	""	"126"	""	"BLM_ID_ChallisOffice@blm.gov"	"10310650"	44.489896000000002	-114.233757	""	"Challis Foothills Trail System"	"208-879-6200"	""	False
True	"Point"	2022-01-09 00:00:00.0000000	""	"126"	""	"BLM_CA_Web_BK@blm.gov"	"15168"	37.085900000000002	-119.5518	""	"San Joaquin River Gorge Visitor Center"	"661-391-6000"	""	False
True	"Point"	2023-02-03 00:00:00.0000000	""	"126"	""	"BLM_OR_PR_Mail@blm.gov"	"16830"	45.110039999999998	-120.46108	"https://flic.kr/p/Ej154Y"	"John Day Wild and Scenic River"	"541-416-6700"	"https://www.blm.gov/or/permit/"	False
